Id,MeasurementTime,SensorName,SensorDescription,SensorDetails,Type,Units,CurrentValue,Lat,Long
13436760,2020-06-11T00:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.200419498178,-31.64478,152.82822
13436761,2020-06-11T00:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.981291062895,-31.64478,152.82822
13436762,2020-06-11T00:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.559824084,-31.64478,152.82822
13436763,2020-06-11T00:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,19.0805,-31.64478,152.82822
13436764,2020-06-11T00:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.546567776,-31.64478,152.82822
13436765,2020-06-11T00:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,19.0897,-31.64478,152.82822
13436766,2020-06-11T00:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.531272036,-31.64478,152.82822
13436767,2020-06-11T00:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.6936,-31.64478,152.82822
13436768,2020-06-11T00:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.515976296,-31.64478,152.82822
13436769,2020-06-11T00:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.7971,-31.64478,152.82822
13436770,2020-06-11T00:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.503739704,-31.64478,152.82822
13436771,2020-06-11T00:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.6025,-31.64478,152.82822
13437043,2020-06-11T01:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.648539376,-31.64478,152.82822
13437044,2020-06-11T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,19.1518,-31.64478,152.82822
13437045,2020-06-11T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.6832097200000001,-31.64478,152.82822
13437046,2020-06-11T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.40737,-31.64478,152.82822
13437047,2020-06-11T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.67,-31.64478,152.82822
13437048,2020-06-11T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.676962759148005,-31.64478,152.82822
